Platform,Year_of_Release,Genre,Publisher,Above_Average_Critic_Score,Above_Average_User_Score,Log_Global_Sales
PS,2000,Fighting,Midway Games,False,False,-1.5606477482646683
PS2,2000,Shooter,Infogrames,True,False,-0.5447271754416722
PS,2000,Platform,Virgin Interactive,False,True,-2.5257286443082556
PS2,2000,Sports,Konami Digital Entertainment,False,True,-1.5606477482646683
PS,2000,Shooter,Fox Interactive,False,True,-1.8325814637483102
PS,2000,Sports,Electronic Arts,True,False,0.5128236264286637
PS,2000,Fighting,Electronic Arts,True,True,-0.8915981192837836
PS2,2000,Sports,Electronic Arts,True,True,0.5068176023684519
PS,2000,Platform,Activision,False,False,-0.4620354595965587
PS,2000,Sports,Electronic Arts,True,True,-0.4620354595965587
PS,2000,Shooter,Atari,False,False,-2.5257286443082556
PS,2000,Fighting,Acclaim Entertainment,False,False,-1.5606477482646683
PS,2000,Adventure,THQ,False,False,-1.3093333199837622
PS2,2000,Racing,Take-Two Interactive,True,False,0.44468582126144574
PS2,2000,Role-Playing,Sony Computer Entertainment,True,True,0.43178241642553783
PS2,2000,Racing,Crave Entertainment,True,True,0.4054651081081644
PS2,2000,Sports,Electronic Arts,True,True,0.4054651081081644
PS2,2000,Simulation,Namco Bandai Games,False,True,-0.35667494393873245
PS2,2000,Racing,Electronic Arts,False,False,-0.35667494393873245
PS2,2000,Racing,Namco Bandai Games,True,False,-1.3093333199837622
PS,2000,Racing,Sony Computer Entertainment,False,True,-1.9661128563728327
PS,2000,Racing,Sony Computer Entertainment,True,True,-2.4079456086518722
PS2,2000,Racing,Midas Interactive Entertainment,False,True,-2.5257286443082556
PS2,2000,Platform,Ubisoft,True,True,-2.5257286443082556
PS,2000,Sports,Activision,True,True,1.5432981099295553
PS,2000,Role-Playing,SquareSoft,True,True,1.667706820558076
PC,2000,Role-Playing,Eidos Interactive,True,True,-4.605170185988091
PS,2000,Role-Playing,Atlus,True,True,-1.0498221244986778
PS2,2000,Role-Playing,Ubisoft,False,True,-1.0498221244986778
PS,2000,Action,Take-Two Interactive,False,False,-1.7147984280919266
PS,2000,Action,Atari,False,True,1.5539252025038417
PS2,2000,Fighting,Ubisoft,False,True,-0.941608539858445
PS2,2000,Strategy,Konami Digital Entertainment,True,True,-2.2072749131897207
PS2,2001,Shooter,Vivendi Games,True,True,-0.5108256237659907
PS2,2001,Shooter,3DO,False,False,-3.2188758248682006
PC,2001,Strategy,Gathering of Developers,True,True,-2.2072749131897207
PS2,2001,Racing,Midway Games,False,False,-1.0216512475319814
PS2,2001,Strategy,Natsume,False,True,-2.4079456086518722
PS2,2001,Racing,Atari,False,False,-1.0788096613719298
GBA,2001,Simulation,Konami Digital Entertainment,False,True,-2.8134107167600364
PS2,2001,Shooter,Interplay,True,False,-2.8134107167600364
PS2,2001,Platform,TDK Mediactive,False,False,-1.9661128563728327
PS2,2001,Action,Sony Computer Entertainment,True,True,-0.7550225842780328
GBA,2001,Racing,Rebellion,False,False,-0.7339691750802004
GBA,2001,Fighting,Ubisoft,True,True,-1.3862943611198906
GC,2001,Sports,Activision,True,True,-0.19845093872383832
XB,2001,Sports,Midway Games,True,True,-1.3093333199837622
GC,2001,Racing,Acclaim Entertainment,False,True,-0.7133498878774648
XB,2001,Racing,Electronic Arts,True,False,-2.8134107167600364
XB,2001,Sports,Acclaim Entertainment,True,True,-1.6094379124341003
PS2,2001,Role-Playing,From Software,False,True,-2.4079456086518722
PC,2001,Strategy,Strategy First,True,True,-3.506557897319982
PS2,2001,Sports,Acclaim Entertainment,True,True,-0.579818495252942
PS2,2001,Sports,Midway Games,True,True,-0.579818495252942
PS2,2001,Racing,Sony Computer Entertainment,True,False,-1.3470736479666092
PS,2001,Sports,Acclaim Entertainment,False,True,-1.3093333199837622
PS,2001,Platform,Sony Computer Entertainment,False,False,-0.579818495252942
XB,2001,Sports,Microsoft Game Studios,True,True,-0.19845093872383832
PS2,2001,Shooter,Electronic Arts,True,True,-1.5606477482646683
GC,2001,Fighting,Nintendo,True,True,1.9558604799084813
PS2,2001,Sports,Sony Computer Entertainment,False,False,-1.171182981502945
PS2,2001,Sports,Tecmo Koei,True,True,-1.7719568419318752
PS2,2001,Action,Virgin Interactive,True,True,0.9932517730102834
XB,2001,Platform,TDK Mediactive,False,False,-1.0216512475319814
PS2,2001,Sports,Electronic Arts,True,True,0.45107561936021673
XB,2001,Sports,Activision,True,True,-0.4620354595965587
PS2,2001,Shooter,Eidos Interactive,False,False,-1.2729656758128873
PS2,2001,Action,Capcom,True,True,1.095273387402595
PS2,2001,Platform,Konami Digital Entertainment,False,False,0.20701416938432612
GC,2001,Platform,Ubisoft,False,True,-1.7147984280919266
GBA,2001,Platform,Konami Digital Entertainment,True,True,-0.11653381625595151
GC,2001,Sports,Acclaim Entertainment,True,True,-1.2729656758128873
PS2,2001,Role-Playing,Virgin Interactive,True,True,0.2151113796169455
XB,2001,Shooter,Microsoft Game Studios,True,True,-0.5621189181535413
PS2,2001,Sports,Sega,True,True,-0.11653381625595151
GBA,2001,Puzzle,Atari,True,True,1.0784095813505903
PS2,2001,Shooter,THQ,True,True,0.6523251860396901
PS2,2001,Shooter,3DO,False,False,-2.8134107167600364
PS2,2001,Sports,Sony Computer Entertainment,False,False,-1.6094379124341003
PS2,2001,Platform,Sony Computer Entertainment,True,True,-1.1086626245216111
PS2,2001,Sports,Sony Computer Entertainment,True,True,1.0612565021243408
GC,2001,Misc,Kemco,False,False,-2.3025850929940455
PS2,2001,Action,Konami Digital Entertainment,True,True,0.2468600779315258
PS2,2001,Simulation,Eidos Interactive,False,True,-1.0788096613719298
PS,2001,Racing,Empire Interactive,False,False,-0.15082288973458366
PS,2001,Platform,Konami Digital Entertainment,False,False,-2.0402208285265546
PS,2001,Action,Take-Two Interactive,False,False,-1.171182981502945
PS2,2001,Racing,BAM! Entertainment,False,False,-1.8971199848858813
PS,2001,Action,BAM! Entertainment,False,False,-1.3862943611198906
GBA,2001,Role-Playing,Ubisoft,True,True,-1.5141277326297755
PC,2001,Shooter,Take-Two Interactive,True,True,-3.912023005428146
PS2,2001,Action,Wanadoo,True,True,-1.9661128563728327
GC,2001,Sports,Electronic Arts,True,True,-1.7147984280919266
GBA,2001,Fighting,Ubisoft,True,True,-1.5606477482646683
PS2,2001,Strategy,THQ,True,True,-0.7765287894989963
PS,2001,Shooter,TalonSoft,False,False,-0.13926206733350766
PS2,2001,Sports,Electronic Arts,True,True,1.0260415958332743
PS,2001,Action,Activision,True,True,0.4382549309311553
PS,2001,Racing,Take-Two Interactive,False,False,-0.23572233352106983
PS2,2001,Platform,3DO,False,False,-2.0402208285265546
GBA,2001,Platform,Vivendi Games,True,True,0.8020015854720274
PS,2001,Shooter,Sony Computer Entertainment,True,True,-0.6539264674066639
PS2,2001,Action,3DO,False,False,-2.0402208285265546
GBA,2001,Platform,Sega,True,True,0.8064758658669485
PS2,2001,Racing,Infogrames,True,True,-1.6094379124341003
